ID,Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return.1,Excess Return.1,Systematic Risk.1,Total Risk.1,Abs. Win Rate.1,Rel. Win Rate.1
1,1.0,0.0,0.0,0.0,0.0,0.0,0.25535709866894973,0.020778245937658223,0.9755754414439173,0.08142625875270139,0.8,0.6,0.6247911448810082,0.7136716841004769,0.3815411611382976,0.6882416164524712,0.56,0.49999999999999994
2,0.0,1.0,0.0,0.0,0.0,0.0,0.2496019245794121,0.003959706801648234,1.3508010269013027,0.07749767877312151,0.85,0.75,0.5992802978688356,0.4305474113471187,0.7374169095527734,0.6339889464702738,0.6799999999999999,0.7249999999999999
3,0.0,0.0,1.0,0.0,0.0,0.0,0.2312464500941005,0.013455667502966333,1.040006305448224,0.08782586771748087,0.8,0.4,0.5179163470750826,0.5904029699014738,0.44264941930937607,0.7766185554446672,0.56,0.2
4,0.0,0.0,0.0,1.0,0.0,0.0,0.20380931865592933,-0.002600085578122642,1.291898675294642,0.08862374852606279,0.7,0.6,0.3962963140956302,0.320119482267408,0.6815520664455497,0.78763708234704,0.31999999999999984,0.49999999999999994
5,0.0,0.0,0.0,0.0,1.0,0.0,0.1638296688027865,-0.0007948246612978424,0.9747056204411011,0.04607138607597776,0.8,0.45,0.21907930638462694,0.3505093502620511,0.3807161955379734,0.2,0.56,0.275
6,0.0,0.0,0.0,0.0,0.0,1.0,0.17348774058094585,-0.007202355663771684,1.2270745811142958,0.0807209646065539,0.75,0.5,0.26189045123133303,0.24264459812458425,0.6200708564059929,0.6785016873304459,0.43999999999999995,0.35
7,0.5,0.5,0.0,0.0,0.0,0.0,0.2948837150434367,0.024584371415349686,1.0606901132689646,0.06490945435946205,0.9,0.7,0.8,0.7777442232886265,0.46226659328032105,0.46014883418391495,0.8,0.6499999999999999
8,0.5,0.0,0.5,0.0,0.0,0.0,0.25586750750912834,0.019563440470983975,1.0103968337385891,0.08342320003692125,0.8,0.5,0.6270536241097648,0.6932215777322883,0.41456686493883915,0.7158188573460602,0.56,0.35
9,0.0,0.5,0.5,0.0,0.0,0.0,0.24822183797428043,0.01237843249295751,1.1380279759377445,0.07719661808080214,0.75,0.65,0.5931628151134372,0.5722687326572775,0.535616254989767,0.6298313764399033,0.43999999999999995,0.575
10,0.5,0.0,0.0,0.5,0.0,0.0,0.22757311627951626,0.018909643624818,0.8503349311221459,0.05982120702529024,0.85,0.55,0.5016336325106605,0.682215523335872,0.2627591215600473,0.3898814589889368,0.6799999999999999,0.42500000000000004
