ID,Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return.1,Excess Return.1,Systematic Risk.1,Total Risk.1,Abs. Win Rate.1,Rel. Win Rate.1
1,1.0,0.0,0.0,0.0,0.0,0.0,0.07700361202753281,-0.015931776847806424,0.7369391180617546,0.09587846882967331,0.6,0.3,0.22775511135954665,0.5075396123657143,0.2443362352727556,0.3166093449401595,0.3714285714285714,0.39999999999999997
2,0.0,1.0,0.0,0.0,0.0,0.0,0.16749542953393437,-0.017357063015476466,1.1698406933090388,0.1030081660259163,0.7,0.4,0.5891315772314318,0.48162199531706,0.5870081532082801,0.3670158005388663,0.5428571428571427,0.6000000000000001
3,0.0,0.0,1.0,0.0,0.0,0.0,0.09764783637769958,-0.025966913524862092,1.049221017267059,0.1113383811954805,0.55,0.3,0.31019722648008585,0.3250591846969284,0.49152923122363174,0.4259098334149858,0.2857142857142858,0.39999999999999997
4,0.0,0.0,0.0,1.0,0.0,0.0,0.2034222559263763,-0.016849360865884296,1.4389158674477978,0.1642512388872972,0.7,0.4,0.7326043232703205,0.4908541272119615,0.8,0.8,0.5428571428571427,0.6000000000000001
5,0.0,0.0,0.0,0.0,1.0,0.0,0.17847078753857448,-0.008925011584459325,1.0169825772244223,0.07938476162886554,0.85,0.25,0.6329613531900699,0.6349516808783193,0.4660102478973426,0.2,0.8,0.3
6,0.0,0.0,0.0,0.0,0.0,1.0,0.08361888043619481,-0.03284428677079019,1.1080732322020745,0.10671495766344877,0.55,0.4,0.25417299514386876,0.2,0.538114881449126,0.3932225556012548,0.2857142857142858,0.6000000000000001
7,0.5,0.5,0.0,0.0,0.0,0.0,0.1438503006966294,-0.0017721595963199471,0.7542262319082349,0.09125961992619892,0.7,0.35,0.49470543650654036,0.765020212264796,0.25802019669969045,0.28395440942721767,0.5428571428571427,0.49999999999999994
8,0.5,0.0,0.5,0.0,0.0,0.0,0.08651519058737556,-0.024527357498201112,0.971649447798019,0.11156345945898108,0.55,0.3,0.2657393262812506,0.351236286997776,0.4301259007505544,0.4275011208403977,0.2857142857142858,0.39999999999999997
9,0.0,0.5,0.5,0.0,0.0,0.0,0.14217518748516067,-0.01540128979700571,1.0215866394351396,0.10094426269194279,0.6,0.4,0.488015920161562,0.5171860683152579,0.46965468561309764,0.3524241497435451,0.3714285714285714,0.6000000000000001
10,0.5,0.0,0.0,0.5,0.0,0.0,0.11222186060416206,-0.005348094738890988,0.6809286162215618,0.08783819702832561,0.65,0.4,0.36839817230723393,0.6999948722886931,0.2,0.25976519119829644,0.4571428571428572,0.6000000000000001
11,0.0,0.5,0.0,0.5,0.0,0.0,0.22029872092978553,-0.009851149746192917,1.2948600557804972,0.1280954036165958,0.65,0.4,0.8,0.6181106458957131,0.6859697351630225,0.544380798364462,0.4571428571428572,0.6000000000000001
12,0.0,0.0,0.5,0.5,0.0,0.0,0.11823228597738145,-0.021883756397842256,1.0549156152358774,0.10724033038171424,0.65,0.25,0.3924006328568529,0.39930792517308145,0.49603690437481407,0.39693690361171097,0.4571428571428572,0.3
13,0.5,0.0,0.0,0.0,0.5,0.0,0.12096698487279656,-0.007065332861901176,0.7398625246008471,0.08046364067796032,0.7,0.25,0.40332157410083835,0.6687683571767951,0.246650316308575,0.20762759867462924,0.5428571428571427,0.3
14,0.0,0.5,0.0,0.0,0.5,0.0,0.1825795757987012,-0.011727114422590848,1.1024392488102968,0.08951320085036205,0.65,0.45,0.6493696807204066,0.5839978233744887,0.5336551889812144,0.27160734991264335,0.4571428571428572,0.7
15,0.0,0.0,0.5,0.0,0.5,0.0,0.13723584537283018,-0.014418672544717591,0.9641260181154596,0.09046104747563817,0.65,0.3,0.4682907997531903,0.5350541275358398,0.4241705792036115,0.2783085586058458,0.4571428571428572,0.39999999999999997
16,0.0,0.0,0.0,0.5,0.5,0.0,0.18548096456745644,-0.014745497466515593,1.2126613604062724,0.11433396115945749,0.75,0.25,0.6609562931707418,0.5291110942297886,0.6209037104446006,0.4470883721790373,0.6285714285714286,0.3
17,0.5,0.0,0.0,0.0,0.0,0.5,0.070053490176188,-0.018269590161256153,0.7463299997039147,0.09368489414391756,0.55,0.3,0.2,0.465028465086228,0.25176977584508153,0.3011009268465749,0.2857142857142858,0.39999999999999997
18,0.0,0.5,0.0,0.0,0.0,0.5,0.15303040056996364,-0.01474428444231591,1.0626286892914867,0.10478265676045752,0.6,0.4,0.531365900844565,0.5291331520434343,0.502142342726025,0.3795613246977467,0.3714285714285714,0.6000000000000001
19,0.0,0.0,0.5,0.0,0.0,0.5,0.08863902694359282,-0.02631985831822208,1.0127407035552334,0.10934489454342142,0.55,0.3,0.27422080557572626,0.31864118373605876,0.46265250778047917,0.41181602358718816,0.2857142857142858,0.39999999999999997
20,0.0,0.0,0.0,0.5,0.0,0.5,0.15470331043801666,-0.016201908013829175,1.1819855966081922,0.14430833007470176,0.6,0.4,0.5380466182010977,0.5026275068021494,0.5966216948182526,0.6590050432855872,0.3714285714285714,0.6000000000000001
21,0.0,0.0,0.0,0.0,0.5,0.5,0.13271921535186282,-0.02042757578217063,1.0566443062039097,0.08963263618238636,0.65,0.3,0.4502537679020776,0.4257873314893209,0.4974052843563262,0.2724517492742,0.4571428571428572,0.39999999999999997
22,0.333,0.333,0.333,0.0,0.0,0.0,0.11770456973375576,-0.013273200979449076,0.8780206155901301,0.10217856504288114,0.6,0.35,0.39029321324301713,0.5558835539641364,0.3560121221429956,0.36115058018448143,0.3714285714285714,0.49999999999999994
23,0.333,0.333,0.0,0.333,0.0,0.0,0.16661787456042365,-0.003175451242409963,0.8915972036426913,0.09906293119549896,0.65,0.35,0.5856270867297003,0.7395025468892933,0.3667589425128087,0.33912326894429934,0.4571428571428572,0.49999999999999994
24,0.333,0.0,0.333,0.333,0.0,0.0,0.10898726206538245,-0.013207783820815135,0.8338274794989784,0.09936178641810828,0.65,0.25,0.35548089624107637,0.5570731093701621,0.32103015956803815,0.34123615425965836,0.4571428571428572,0.3
25,0.0,0.333,0.333,0.333,0.0,0.0,0.17445746874042412,-0.00908486760033242,1.0493383528092592,0.10585437794824973,0.65,0.35,0.616934280205375,0.6320448351540706,0.4916221105236545,0.3871383177985348,0.4571428571428572,0.49999999999999994
26,0.333,0.333,0.0,0.0,0.333,0.0,0.1365029453592561,-0.007886827137362273,0.8240968423128782,0.08159935367305822,0.7,0.35,0.4653639846660238,0.6538301822881214,0.31332767868565514,0.21565700933325346,0.5428571428571427,0.49999999999999994
27,0.333,0.0,0.333,0.0,0.333,0.0,0.1175056754269026,-0.016721660519132167,0.9361776101059497,0.09860062075692769,0.65,0.25,0.3894989345593389,0.4931762494349761,0.40204745671233244,0.3358547667971196,0.4571428571428572,0.3
28,0.0,0.333,0.333,0.0,0.333,0.0,0.1411622621788542,-0.017215971574675977,1.0379984288399682,0.09307544299521463,0.65,0.3,0.4839708321362349,0.4841876231989946,0.48264576643532386,0.2967921502714823,0.4571428571428572,0.39999999999999997
29,0.333,0.0,0.0,0.333,0.333,0.0,0.12302006656583342,-0.006981602675386271,0.7467585391313611,0.08003506725466951,0.7,0.3,0.41152049668655655,0.670290919423402,0.2521089948175008,0.2045976148425981,0.5428571428571427,0.39999999999999997
30,0.0,0.333,0.0,0.333,0.333,0.0,0.20277545290284138,-0.013010954276834831,1.2448386632905444,0.11003485790433527,0.75,0.4,0.7300213340321637,0.5606522872647193,0.6463742994278985,0.41669401581594157,0.6285714285714286,0.6000000000000001
31,0.0,0.0,0.333,0.333,0.333,0.0,0.12184952151361039,-0.018427145156030958,0.9738759154632234,0.0896013617321423,0.6,0.3,0.40684595874740803,0.4621634614741103,0.4318883058529641,0.272230641119925,0.3714285714285714,0.39999999999999997
32,0.333,0.333,0.0,0.0,0.0,0.333,0.12156763175471541,-0.00803156170602444,0.7843963391189898,0.09556820419970323,0.7,0.35,0.40572024011734803,0.6511983072237473,0.2819019497201644,0.3144157959206195,0.5428571428571427,0.49999999999999994
33,0.333,0.0,0.333,0.0,0.0,0.333,0.07095014963844926,-0.02548565832249776,0.9133722440795496,0.10766894613062683,0.5,0.35,0.20358078372709923,0.33381040134413786,0.3839954121776731,0.39996718668289866,0.2,0.49999999999999994
34,0.0,0.333,0.333,0.0,0.0,0.333,0.14944047036429864,-0.014191772064044844,1.0419082906785457,0.10690654899371461,0.6,0.4,0.5170296180048688,0.539180119845051,0.48574069593361213,0.39457709277391784,0.3714285714285714,0.6000000000000001
35,0.333,0.0,0.0,0.333,0.0,0.333,0.11507669187458647,-0.009588354390490259,0.7807422224354307,0.09241856282238947,0.6,0.35,0.37979885872944585,0.6228893559861931,0.279009460424878,0.2921480538458122,0.3714285714285714,0.49999999999999994
36,0.0,0.333,0.0,0.333,0.0,0.333,0.19467469718800334,-0.008115758834852584,1.1334224251490834,0.11601138934764767,0.65,0.4,0.69767119949196,0.6496672540282115,0.5581805431652038,0.4589476709908554,0.4571428571428572,0.6000000000000001
37,0.0,0.0,0.333,0.333,0.0,0.333,0.14043816251056196,-0.01570496760416771,1.0386580876548392,0.1100394143958037,0.6,0.35,0.4810791609743871,0.51166394560704,0.4831679325908658,0.41672622988879315,0.3714285714285714,0.49999999999999994
38,0.333,0.0,0.0,0.0,0.333,0.333,0.09945915527883176,-0.010821410190417179,0.7256200362822031,0.08677907640595671,0.65,0.3,0.31743067632224187,0.6004672847228688,0.2353763892374245,0.25227728320505866,0.4571428571428572,0.39999999999999997
39,0.0,0.333,0.0,0.0,0.333,0.333,0.17667868870929704,-0.015385642644800038,1.1596651483534268,0.09714611867431763,0.65,0.5,0.625804658151078,0.5174705984734588,0.5789534966642679,0.3255715398062252,0.4571428571428572,0.8
40,0.0,0.0,0.333,0.0,0.333,0.333,0.10749857715915367,-0.02322318010391986,1.023532221428434,0.10257716916642552,0.6,0.3,0.34953587596151664,0.37495164398026126,0.4711947500325032,0.3639686831840715,0.3714285714285714,0.39999999999999997
41,0.0,0.0,0.0,0.333,0.333,0.333,0.19026832031952767,-0.017846310402625278,1.3326000481527334,0.1356370023463652,0.6,0.35,0.6800744604285998,0.4727254475852412,0.7158435824958229,0.5976993687121204,0.3714285714285714,0.49999999999999994
42,0.25,0.25,0.25,0.25,0.0,0.0,0.13702502490394686,-0.010317497071929957,0.9001592408612209,0.09880684422823795,0.65,0.3,0.4674488942850731,0.6096305163089123,0.3735363946702256,0.33731275217348167,0.4571428571428572,0.39999999999999997
43,0.25,0.25,0.25,0.0,0.25,0.0,0.12802811374796597,-0.011634172051439642,0.8742857042412623,0.09204835422571794,0.65,0.35,0.43151998881158415,0.5856879013656535,0.35305567821112815,0.2895307052156044,0.4571428571428572,0.49999999999999994
44,0.25,0.25,0.0,0.25,0.25,0.0,0.17230891030478124,-0.005913242971361303,0.9521102641783814,0.09047614414876948,0.7,0.35,0.6083540739990303,0.6897181322226376,0.414659268359552,0.27841529101858875,0.5428571428571427,0.49999999999999994
