ID,Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return.1,Excess Return.1,Systematic Risk.1,Total Risk.1,Abs. Win Rate.1,Rel. Win Rate.1
1,1.0,0.0,0.0,0.0,0.0,0.0,0.2218050130980398,0.06288434420458368,1.58044040356646,0.16436047098414364,0.65,0.8,0.6471609164607364,0.6882512566810999,0.8,0.8,0.4571428571428572,0.6500000000000001
2,0.0,1.0,0.0,0.0,0.0,0.0,0.14235261059734294,0.03990634613886128,1.2075611494758478,0.12084692240016953,0.55,0.8,0.49203392345352814,0.49477892720323446,0.4884812319915896,0.46075418637281407,0.2857142857142858,0.6500000000000001
3,0.0,0.0,1.0,0.0,0.0,0.0,0.29572634037063383,0.07615633206330416,1.3168620700723643,0.1477539460895296,0.65,0.85,0.7914887512143636,0.8,0.5797957466846964,0.6705301168779343,0.4571428571428572,0.7249999999999999
4,0.0,0.0,0.0,1.0,0.0,0.0,0.0020855677240632087,0.012470462686774517,1.4379636796938315,0.15974538892675122,0.5,0.55,0.21816927123292096,0.26377167115002687,0.6809690455991686,0.7640193153979415,0.2,0.2750000000000001
5,0.0,0.0,0.0,0.0,1.0,0.0,0.030526288362808573,0.012327981603472002,1.1092873422553597,0.10452016581549128,0.6,0.75,0.27369840984654464,0.2625719953987181,0.406379224392682,0.33346546822165635,0.3714285714285714,0.575
6,0.0,0.0,0.0,0.0,0.0,1.0,0.0883131524393741,0.03141931751965368,1.4795385298543646,0.15189584692872887,0.55,0.65,0.38652448152430474,0.4233190379384304,0.7157023968383776,0.7028217264083687,0.2857142857142858,0.42500000000000004
7,0.5,0.5,0.0,0.0,0.0,0.0,0.2975158560198208,0.07164239225061882,0.9020552613284278,0.10254958685276028,0.8,0.85,0.7949826944163363,0.7619931010445204,0.2332489634999982,0.3181021920632392,0.7142857142857144,0.7249999999999999
8,0.5,0.0,0.5,0.0,0.0,0.0,0.2685733907072472,0.07138970242772519,1.3688797964084813,0.15282238108712715,0.65,0.75,0.7384739234686535,0.759865479285186,0.6232535090703936,0.7100452888308315,0.4571428571428572,0.575
9,0.0,0.5,0.5,0.0,0.0,0.0,0.2822674079501446,0.06961556122476412,1.0492713838218903,0.1150850740285743,0.8,0.85,0.7652108332437972,0.7449273967604257,0.3562394077444351,0.41583293764849827,0.7142857142857144,0.7249999999999999
10,0.5,0.0,0.0,0.5,0.0,0.0,0.20034874094558552,0.05334514118770908,1.1087154905422536,0.12275863332964305,0.75,0.7,0.6052685774578304,0.6079321695370308,0.405901475793917,0.47565850814831007,0.6285714285714286,0.49999999999999994
11,0.0,0.5,0.0,0.5,0.0,0.0,0.1194292986438541,0.03402570808605925,1.0580556848585088,0.11200518717133912,0.6,0.8,0.44727725982614785,0.44526457266122504,0.3635781765461915,0.39182113542220876,0.3714285714285714,0.6500000000000001
